institute,model,component,property,value
CNRM-CERFACS,CNRM-CM5,Ocean > Vertical Physics > Mixed Layer,Standard Properties > Description,"Includes a Langmuir cell parameterization [Axell 2002], the Mellor and Blumberg [2004] surface wave breaking parameterization, and has a time discretization which is energetically consistent with the ocean model equations [Burchard 2002, Marsaleix et al. 2008] ; See NEMO doc for references."
INPE,HADGEM2-ES,Sea Ice > Thermodynamics,Scientific Properties > Snow > Snow Scheme,Includes sublimation
MOHC,HADGEM2-CC,Sea Ice > Thermodynamics,Scientific Properties > Snow > Snow Scheme,Includes sublimation
MOHC,HADGEM2-ES,Sea Ice > Thermodynamics,Scientific Properties > Snow > Snow Scheme,Includes sublimation
MOHC,HADGEM2-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase Detail,Includes water vapour from methane oxidation.
NCC,NORESM1-M,Ocean > Advection,Scientific Properties > Lateral Tracers > Scheme Type,"Incremental remapping (Dukowicz and Baumgardner, 2000). Limiting is applied to the reconstruction of advected fields to ensure monotonicity."
NCC,NORESM1-ME,Ocean > Advection,Scientific Properties > Lateral Tracers > Scheme Type,"Incremental remapping (Dukowicz and Baumgardner, 2000). Limiting is applied to the reconstruction of advected fields to ensure monotonicity."
CSIRO-BOM,ACCESS1.0,Sea Ice > Dynamics,Scientific Properties > Advection,Incremental remapping (semi-lagrangian)
CSIRO-BOM,ACCESS1.3,Sea Ice > Dynamics,Scientific Properties > Advection,Incremental remapping (semi-lagrangian)
CNRM-CERFACS,CNRM-CM5,Sea Ice > Dynamics,Scientific Properties > Advection,Incremental remapping (semi-lagrangian)
NCC,NORESM1-M,Sea Ice > Dynamics,Scientific Properties > Advection,Incremental remapping (semi-lagrangian)
NCC,NORESM1-ME,Sea Ice > Dynamics,Scientific Properties > Advection,Incremental remapping (semi-lagrangian)
BCC,BCC-CSM1.1,Land Surface > River Routing,Scientific Properties > Resolution,Independent
CSIRO-BOM,ACCESS1.0,Land Surface > River Routing,Scientific Properties > Resolution,Independent
CSIRO-BOM,ACCESS1.3,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MPI-M,MPI-ESM-LR,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MPI-M,MPI-ESM-P,Land Surface > River Routing,Scientific Properties > Resolution,Independent
CMCC,CMCC-CM,Land Surface > River Routing,Scientific Properties > Resolution,Independent
CNRM-CERFACS,CNRM-CM5,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MRI,MRI-CGCM3,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MRI,MRI-ESM1,Land Surface > River Routing,Scientific Properties > Resolution,Independent
NCC,NORESM1-M,Land Surface > River Routing,Scientific Properties > Resolution,Independent
NCC,NORESM1-ME,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MPI-M,MPI-ESM-MR,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MOHC,HADGEM2-A,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MOHC,HADGEM2-CC,Land Surface > River Routing,Scientific Properties > Resolution,Independent
MOHC,HADGEM2-ES,Land Surface > River Routing,Scientific Properties > Resolution,Independent
INPE,HADGEM2-ES,Land Surface > River Routing,Scientific Properties > Resolution,Independent
BCC,BCC-CSM1.1,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
CSIRO-BOM,ACCESS1.0,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
NCEP,CFSV2-2011,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
CNRM-CERFACS,CNRM-CM5,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
CSIRO-QCCCE,CSIRO-MK3.6.0,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
EC-EARTH,EC-EARTH,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
NCC,NORESM1-M,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
NOAA-GFDL,GFDL-ESM2G,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
NCC,NORESM1-ME,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
MOHC,HADGEM2-A,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
MOHC,HADGEM2-CC,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
MOHC,HADGEM2-ES,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
INPE,HADGEM2-ES,Land Surface > Soil > Hydrology,Scientific Properties > Runoff- Drainage > Processes,Infiltration excess runoff
CSIRO-BOM,ACCESS1.0,Ocean > Vertical Physics > Mixed Layer,Standard Properties > Description,"Information marked as ""other"" will be entered in due course where applicable."
CSIRO-BOM,ACCESS1.3,Ocean > Vertical Physics > Mixed Layer,Standard Properties > Description,"Information marked as ""other"" will be entered in due course where applicable."
CSIRO-BOM,ACCESS1.0,Ocean > Advection,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.0,Ocean > Boundary Forcing > Tracers,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.0,Ocean > Lateral Physics > Momentum,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.0,Ocean > Lateral Physics > Tracers,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.0,Ocean > Upper & Lower Boundaries,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.0,Ocean > Vertical Physics > Interior Mixing,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.3,Ocean > Advection,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.3,Ocean > Lateral Physics > Momentum,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.3,Ocean > Lateral Physics > Tracers,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
CSIRO-BOM,ACCESS1.3,Ocean > Vertical Physics > Interior Mixing,Standard Properties > Description,Information marked as N/A will be entered in due course where applicable.
INM,INM-CM4,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
CSIRO-QCCCE,CSIRO-MK3.6.0,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
IPSL,IPSL-CM5A-LR,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NOAA-GFDL,GFDL-CM2P1,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NOAA-GFDL,GFDL-CM3,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NOAA-GFDL,GFDL-ESM2G,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NOAA-GFDL,GFDL-ESM2M,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NOAA-GFDL,GFDL-HIRAM-C180,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NOAA-GFDL,GFDL-HIRAM-C360,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NASA-GISS,GISS-E2-H,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NASA-GISS,GISS-E2-H-CC,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NASA-GISS,GISS-E2-R,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NASA-GISS,GISS-E2-R-CC,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NASA-GISS,GISS-E2CS-H,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
NASA-GISS,GISS-E2CS-R,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
IPSL,IPSL-CM5A-MR,Land Surface > River Routing,Scientific Properties > Resolution,Inherited from Land Surface
BCC,BCC-CSM1.1,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
IPSL,IPSL-CM5A-LR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
MRI,MRI-CGCM3,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
EC-EARTH,EC-EARTH,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
IPSL,IPSL-CM5A-MR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
NASA-GISS,GISS-E2-H,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
NASA-GISS,GISS-E2-H-CC,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
NASA-GISS,GISS-E2-R,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
NASA-GISS,GISS-E2-R-CC,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
NASA-GISS,GISS-E2CS-H,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
NASA-GISS,GISS-E2CS-R,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
MOHC,HADGEM2-A,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
MRI,MRI-ESM1,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
MOHC,HADGEM2-CC,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
MOHC,HADGEM2-ES,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
INPE,HADGEM2-ES,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,Inline
MPI-M,MPI-ESM-LR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,"Inline (cfDay, cfMon) and offline (cf3hr) as suggested by CFMIP"
MPI-M,MPI-ESM-MR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,"Inline (cfDay, cfMon) and offline (cf3hr) as suggested by CFMIP"
MPI-M,MPI-ESM-P,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > C O S P Run Configuration,"Inline (cfDay, cfMon) and offline (cf3hr) as suggested by CFMIP"
MPI-M,MPI-ESM-LR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Gridpoints,Inline: 866304 (interpolated to  737280)    offline: 85686264 (interpolated to: 72924480
MPI-M,MPI-ESM-P,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Gridpoints,Inline: 866304 (interpolated to  737280)    offline: 85686264 (interpolated to: 72924480
MPI-M,MPI-ESM-MR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Gridpoints,Inline: 866304 (interpolated to  737280)    offline: 85686264 (interpolated to: 72924480
EC-EARTH,EC-EARTH,Atmosphere,Standard Properties > Long Name,Integrated Forecasting System of ECMWF
CNRM-CERFACS,CNRM-CM5,Land Surface > Soil,Standard Properties > Long Name,Interaction Soil Biosphere Atmosphere
CSIRO-BOM,ACCESS1.0,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
CSIRO-BOM,ACCESS1.3,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NCC,NORESM1-ME,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
MRI,MRI-CGCM3,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
CSIRO-QCCCE,CSIRO-MK3.6.0,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
MRI,MRI-ESM1,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NCC,NORESM1-ME,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
MRI,MRI-ESM1,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
MRI,MRI-ESM1,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NCC,NORESM1-M,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NCC,NORESM1-M,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NOAA-GFDL,GFDL-CM3,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NOAA-GFDL,GFDL-CM3,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NCC,NORESM1-ME,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-H,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-H-CC,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-R,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-R-CC,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2CS-H,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2CS-R,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
MOHC,HADGEM2-A,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
MOHC,HADGEM2-CC,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
MOHC,HADGEM2-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
MOHC,HADGEM2-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
MRI,MRI-ESM1,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
NCC,NORESM1-M,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
MOHC,HADGEM2-ES,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
MOHC,HADGEM2-ES,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
MOHC,HADGEM2-ES,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
INPE,HADGEM2-ES,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method,Interactive
INPE,HADGEM2-ES,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method,Interactive
INPE,HADGEM2-ES,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Processes > Dry Deposition,Interactive
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Processes > Dry Deposition,Interactive
CSIRO-QCCCE,CSIRO-MK3.6.0,Aerosols,Standard Properties > Long Name,Interactive bulk aerosol scheme
MOHC,HADCM3,Land Surface,Scientific Properties > Basic Approximations,"Interactive plant photosynthesis and conductance module, soil thermodynamics scheme which simulates the freezing and melting of soil water, and takes account of the dependence of soil thermal characteristics on the frozen and unfrozen components."
MOHC,HADCM3,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Climatology Type,Interannual
NASA-GISS,GISS-E2-H,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H,Aerosols > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H-CC,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H-CC,Aerosols > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R,Aerosols > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R-CC,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R-CC,Aerosols > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-H,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-H,Aerosols > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-R,Aerosols > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-R,Aerosols > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Method Characteristics,Interdecadal varying
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Method Characteristics,Interdecadal varying
NOAA-GFDL,GFDL-CM2P1,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,Interpolated from lamarque et al 2010
NOAA-GFDL,GFDL-CM2P1,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,Interpolated from lamarque et al 2010
EC-EARTH,EC-EARTH,Ocean,Scientific Properties > Non- Oceanic Water > River Mouth Mixing,Into grid boxes adjacent to river month; only surface (as if rain)
NCC,NORESM1-M,Atmosphere > Radiation,Scientific Properties > Cloud Radiative Properties > Liquid,"Intrinsic optical properties as in CAM4 (Neale et al, 2010), but CDNC is CAM4-Oslo specific."
NCC,NORESM1-ME,Atmosphere > Radiation,Scientific Properties > Cloud Radiative Properties > Liquid,"Intrinsic optical properties as in CAM4 (Neale et al, 2010), but CDNC is CAM4-Oslo specific."
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
IPSL,IPSL-CM5A-MR,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
CMCC,CMCC-CESM,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
NCC,NORESM1-M,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
NCC,NORESM1-ME,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
IPSL,IPSL-CM5A-LR,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Nutrients > List Of Species,Iron (Fe)
INM,INM-CM4,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
NASA-GISS,GISS-E2-H,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
NASA-GISS,GISS-E2-H-CC,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
NASA-GISS,GISS-E2-R,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
NASA-GISS,GISS-E2-R-CC,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
NASA-GISS,GISS-E2CS-H,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
NASA-GISS,GISS-E2CS-R,Land Surface > River Routing,Scientific Properties > Water Re-evaporation,Irrigation
MRI,MRI-CGCM3,Ocean > Advection,Scientific Properties > Momentum > Scheme Name,Ishizaki and Motoi (1999)
MRI,MRI-ESM1,Ocean > Advection,Scientific Properties > Momentum > Scheme Name,Ishizaki and Motoi (1999)
INM,INM-CM4,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Iso-level
NOAA-GFDL,GFDL-CM2P1,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Iso-level
NOAA-GFDL,GFDL-CM3,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Iso-level
NOAA-GFDL,GFDL-ESM2M,Ocean > Lateral Physics > Momentum,Scientific Properties > Operator > Direction,Iso-level
